Название,Жанр/Жанры,Режиссёр,Страна/Страны,Год
Уайльд (фильм),"фильм-биография,драма,исторический фильм",Брайан Гилберт,"Великобритания,Германия,Япония",1997
"Убежать, догнать, влюбиться","Михаил Шевчук,Фёдор Бондарчук,Дмитрий Рудковский,Анна Ольшевская",Михаил Шевчук,Россия,2016
"Уапанго (фильм, 2004)",драма,Иван Липкис,Мексика,2004
"Февраль (фильм, 2014)",Руслан Магомадов,Руслан Магомадов,Россия,2014
Фауст: Любовь проклятого,,Брайан Юзна,,2000
Фауст и Мефистофель,"фэнтези,Джордж Альберт Смит",Джордж Альберт Смит,Великобритания,1898
"Фауст и Маргарита (фильм, 1900)",фэнтези,Эдвин Стэнтон Портер,США,1900
"Фауст и Маргарита (фильм, 1897)",,Жорж Мельес,Франция,1897
"Фауст (фильм, 2011)",драма,Александр Сокуров,"Россия,Германия,Франция,Япония,Великобритания,Италия",2011
Человек без лица (фильм),драма,Мел Гибсон,США,1993
"Человек (фильм, 2015)","документальный,Ян Артюс-Бертран",Ян Артюс-Бертран,Франция,
Человек — швейцарский нож,трагикомедия,Дэниел Шайнерт,США,2016
Челленджер (фильм),драма,Джеймс Хоуз,,2013
Шесть пуль,боевик,Эрни Барбараш,США,2012
Шесть потерянных часов,,Алекс Жоффе,Франция,1947
Шесть женщин для убийцы,"фильм ужасов,триллер",Марио Бава,"Франция,Италия,Монако",1964
Шесть жён Генри Лефея,трагикомедия,Ховард Гулд,,2009
"Шесть дней, семь ночей","комедия,приключения",Айван Райтман,,1998
Шесть направлений ударов,"боевик,драма",Тайрон Сюй,Гонконг,1980
Шесть демонов Эмили Роуз,"фильм ужасов,триллер,мистика",Скотт Дерриксон,,2005
Шесть минут до полуночи,,Энди Годдар,Великобритания,2020
"Шесть (фильм, 2004)","драма,триллер",Кевин Даунс,США,2004
Шестой элемент,"фантастика,комедия,пародия",Аллан А. Голдштейн,Канада,2000
"Шестое чувство (фильм, 1999)","драма,фэнтези,психологический триллер,мистика",М. Найт Шьямалан,США,1999
Атака крабов-монстров,ужасы,Роджер Корман,,1956
Шестой палец (За гранью возможного),фантастика,Джеймс Голдстоун,США,1963
Шестой игрок,комедия,Рэндолл Миллер,США,1997
Шестой (фильм),"Детектив,истерн,боевик,Самвел Гаспаров",Самвел Гаспаров,СССР,1981
Шуб-баба Люба!,,Максим Воронков,Россия,2000
Атака коммандос,,Бруно Маттеи,,1987
Атака Годзиллы,"приключения,детектив,фантастика,семейный",Исиро Хонда,Япония,1969
"Астролог (фильм, 1976)",,Крейг Денни,США,1976
"Атака (фильм, 1986)","кинодрама,Игорь Николаев",Игорь Николаев,СССР,1986
